Factor by grouping: x² + 7x + 3x + 21,(x + 3)(x + 7)
Factor by grouping: x² + 5x + 4x + 20,(x + 4)(x + 5)
Factor by grouping: x² + 6x + 5x + 30,(x + 5)(x + 6)
Factor by grouping: x² + 3x + x + 3,(x + 1)(x + 3)
Factor by grouping: x² + 4x + x + 4,(x + 1)(x + 4)
Factor by grouping: x² + 5x + x + 5,(x + 1)(x + 5)
Factor by grouping: 2x² + 6x + x + 3,(2x + 1)(x + 3)
Factor by grouping: 3x² + 6x + x + 2,(3x + 1)(x + 2)
Factor by grouping: 2x² + 4x + 3x + 6,(2x + 3)(x + 2)
Factor by grouping: 2x² + 10x + 3x + 15,(2x + 3)(x + 5)
Factor by grouping: 3x² + 9x + 2x + 6,(3x + 2)(x + 3)
Factor by grouping: 2x² + 8x + x + 4,(2x + 1)(x + 4)
Factor by grouping: 3x² + 3x + 2x + 2,(3x + 2)(x + 1)
Factor by grouping: 5x² + 10x + x + 2,(5x + 1)(x + 2)
Factor by grouping: 2x² + 2x + 3x + 3,(2x + 3)(x + 1)
Factor by grouping: 4x² + 8x + x + 2,(4x + 1)(x + 2)
Factor by grouping: 3x² + 12x + 2x + 8,(3x + 2)(x + 4)
Factor by grouping: 2x² + 6x + 5x + 15,(2x + 5)(x + 3)
Factor by grouping: 5x² + 15x + 2x + 6,(5x + 2)(x + 3)
Factor by grouping: 3x² + 15x + x + 5,(3x + 1)(x + 5)
Factor by grouping: 4x² + 12x + x + 3,(4x + 1)(x + 3)
Factor by grouping: 2x² + 14x + x + 7,(2x + 1)(x + 7)
Factor by grouping: 3x² + 6x + 4x + 8,(3x + 4)(x + 2)
Factor by grouping: 5x² + 5x + 3x + 3,(5x + 3)(x + 1)
Factor by grouping: 4x² + 4x + 3x + 3,(4x + 3)(x + 1)
Factor by grouping: 2x² + 12x + x + 6,(2x + 1)(x + 6)
Factor by grouping: 6x² + 12x + x + 2,(6x + 1)(x + 2)
Factor by grouping: 3x² + 21x + 2x + 14,(3x + 2)(x + 7)
Factor by grouping: 4x² + 20x + x + 5,(4x + 1)(x + 5)
Factor by grouping: 2x² + 4x + 5x + 10,(2x + 5)(x + 2)
Factor by grouping: 5x² + 20x + x + 4,(5x + 1)(x + 4)
Factor by grouping: 3x² + 9x + 4x + 12,(3x + 4)(x + 3)
Factor by grouping: 6x² + 6x + x + 1,(6x + 1)(x + 1)
Factor by grouping: 4x² + 16x + 3x + 12,(4x + 3)(x + 4)
Factor by grouping: 2x² + 16x + 3x + 24,(2x + 3)(x + 8)
Factor by grouping: 7x² + 7x + 2x + 2,(7x + 2)(x + 1)
Factor by grouping: 5x² + 25x + 2x + 10,(5x + 2)(x + 5)
Factor by grouping: 3x² + 18x + x + 6,(3x + 1)(x + 6)
Factor by grouping: 4x² + 8x + 3x + 6,(4x + 3)(x + 2)
Factor by grouping: 6x² + 18x + x + 3,(6x + 1)(x + 3)
Factor by grouping: 2x² + 10x + x + 5,(2x + 1)(x + 5)
Factor by grouping: 7x² + 14x + x + 2,(7x + 1)(x + 2)
Factor by grouping: 5x² + 10x + 3x + 6,(5x + 3)(x + 2)
Factor by grouping: 3x² + 3x + 5x + 5,(3x + 5)(x + 1)
Factor by grouping: 4x² + 20x + 3x + 15,(4x + 3)(x + 5)
